Player,Club,POS,MINS,G,A,SHTS,G/90min,A/90min,OFF,YC,RC,Year,Season
Roy Lassiter,TB ,F,2580,27,4,76,0.94,0.14,70,2,0,1996,reg
Raul Diaz Arce,DC ,F,2351,23,2,100,0.88,0.08,35,6,1,1996,reg
Eduardo Hurtado,LA ,F,2323,21,7,87,0.81,0.27,25,5,0,1996,reg
Preki,KC ,M,2880,18,13,140,0.56,0.41,7,3,0,1996,reg
Brian McBride,CLB,F,2307,17,3,79,0.66,0.12,10,0,0,1996,reg
Steve Rammel,DC ,F,1649,14,3,54,0.76,0.16,20,4,0,1996,reg
Vitalis Takawira,KC ,F,2233,13,7,70,0.52,0.28,44,0,1,1996,reg
Paul Bravo,SJ ,M,2654,13,5,58,0.44,0.17,30,2,0,1996,reg
Jason Kreis,DAL,M,2564,13,5,90,0.46,0.18,7,4,0,1996,reg
Giovanni Savarese,MET,F,1576,13,1,49,0.74,0.06,38,1,0,1996,reg
Pete Marino,CLB,F,1700,11,4,52,0.58,0.21,28,0,0,1996,reg
Jean Harbor,COL,F,2111,11,4,61,0.47,0.17,24,3,1,1996,reg
Joe-Max Moore,NE ,F,1238,11,1,36,0.8,0.07,16,2,0,1996,reg
Eric Wynalda,SJ ,F,2326,10,13,68,0.39,0.5,40,6,0,1996,reg
Eduardo Espinoza,SJ ,F,2310,10,5,54,0.39,0.19,35,5,1,1996,reg
Mark Chung,KC ,M,2847,8,9,81,0.25,0.28,4,0,0,1996,reg
Shaun Bartlett,COL,F,2252,8,7,88,0.32,0.28,27,5,0,1996,reg
Giuseppe Galderisi,NE ,F,1961,7,8,57,0.32,0.37,22,5,0,1996,reg
Cobi Jones,LA ,M,2375,7,4,48,0.27,0.15,15,2,0,1996,reg
Steve Ralston,TB ,M,2762,7,2,24,0.23,0.07,4,1,0,1996,reg
Marcelo Balboa,COL,D,1525,7,2,28,0.41,0.12,4,2,0,1996,reg
Adrian Paz,CLB,M,1802,6,10,48,0.3,0.5,36,1,0,1996,reg
Alberto Naveda,NE ,F,1734,6,7,65,0.31,0.36,3,8,0,1996,reg
Harut Karapetyan,LA ,F,1860,6,6,62,0.29,0.29,16,1,0,1996,reg
Hugo Sanchez,DAL,F,1708,6,3,40,0.32,0.16,9,6,1,1996,reg
Maurice Johnston,KC ,M-F,2573,6,3,54,0.21,0.1,23,4,0,1996,reg
Antony De Avila,MET,F,650,6,2,20,0.83,0.28,6,1,0,1996,reg
Mauricio Cienfuegos,LA ,M,2405,5,11,47,0.19,0.41,17,6,0,1996,reg
Gerell Elliott,DAL,F,1523,5,7,43,0.3,0.41,20,0,0,1996,reg
Martin Vasquez,TB ,M,2700,5,6,51,0.17,0.2,2,5,0,1996,reg
Brian Maisonneuve,CLB,M,1209,5,2,22,0.37,0.15,2,1,0,1996,reg
John Kerr,DAL,F,1404,5,2,29,0.32,0.13,11,1,0,1996,reg
A.J. Wood,MET,F,1136,5,2,34,0.4,0.16,4,0,0,1996,reg
Steve Trittschuh,COL,D,2880,5,2,45,0.16,0.06,1,2,0,1996,reg
Diego Viera,TB ,F,774,5,0,17,0.58,0.0,10,3,1,1996,reg
Marco Etcheverry,DC ,M,2144,4,19,51,0.17,0.8,4,7,0,1996,reg
Carlos Valderrama,TB ,M,2059,4,17,24,0.17,0.74,3,0,0,1996,reg
Tony Sanneh,DC ,D,2047,4,8,32,0.18,0.35,5,4,0,1996,reg
Mike Sorber,KC ,M,1960,4,6,34,0.18,0.28,2,2,0,1996,reg
Darren Sawatzky,NE ,F,1776,4,5,41,0.2,0.25,16,1,0,1996,reg
Miles Joseph,MET,M,1927,4,4,27,0.19,0.19,7,3,0,1996,reg
